"age","educNum","mariStat","occup","origEthn","sex","hoursWeek","income","LcapitalGain","LcapitalLoss","child"
39,13,"Never-Married","Admin","CaucYes","Male",40,"incB",7.68478394352278,0,"ChildNo"
50,13,"Married","White-Collar","CaucYes","Male",13,"incB",0,0,"ChildNo"
38,9,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
53,7,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
28,13,"Married","Professional","CaucNo","Female",40,"incB",0,0,"ChildNo"
37,14,"Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
49,5,"Not-Married","Service","CaucNo","Female",16,"incB",0,0,"ChildNo"
52,9,"Married","White-Collar","CaucYes","Male",45,"incH",0,0,"ChildNo"
31,14,"Never-Married","Professional","CaucYes","Female",50,"incH",9.55286568031047,0,"ChildNo"
42,13,"Married","White-Collar","CaucYes","Male",40,"incH",8.55236726642389,0,"ChildNo"
37,10,"Married","White-Collar","CaucNo","Male",80,"incH",0,0,"ChildNo"
30,13,"Married","Professional","CaucNo","Male",40,"incH",0,0,"ChildNo"
23,13,"Never-Married","Admin","CaucYes","Female",30,"incB",0,0,"ChildYes"
32,12,"Never-Married","Sales","CaucNo","Male",50,"incB",0,0,"ChildNo"
34,4,"Married","Blue-Collar","CaucNo","Male",45,"incB",0,0,"ChildNo"
25,9,"Never-Married","Blue-Collar","CaucYes","Male",35,"incB",0,0,"ChildYes"
32,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
38,7,"Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
43,14,"Not-Married","White-Collar","CaucYes","Female",45,"incH",0,0,"ChildNo"
40,16,"Married","Professional","CaucYes","Male",60,"incH",0,0,"ChildNo"
54,9,"Not-Married","Service","CaucNo","Female",20,"incB",0,0,"ChildNo"
35,5,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
43,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.62217459481762,"ChildNo"
59,9,"Not-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildNo"
56,13,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
