"","age","educNum","mariStat","occup","origEthn","sex","hoursWeek","income","LcapitalGain","LcapitalLoss","child"
"36",48,7,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"1016",48,4,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"20727",26,10,"Never-Married","Admin","CaucYes","Female",15,"incB",0,0,"ChildYes"
"8825",58,9,"Not-Married","Sales","CaucYes","Female",40,"incH",0,0,"ChildNo"
"31524",49,11,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"41052",23,13,"Never-Married","White-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"23634",38,6,"Widowed","Blue-Collar","CaucNo","Male",40,"incB",4.74493212836325,0,"ChildNo"
"34351",65,9,"Widowed","Blue-Collar","CaucYes","Male",55,"incB",0,0,"ChildNo"
"48711",47,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"25048",47,9,"Not-Married","Professional","CaucNo","Female",40,"incB",0,0,"ChildNo"
"34560",42,10,"Married","White-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"1174",20,11,"Never-Married","Service","CaucYes","Male",30,"incB",0,0,"ChildNo"
"28471",43,13,"Married","White-Collar","CaucYes","Male",45,"incH",0,0,"ChildNo"
"23428",30,9,"Never-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildNo"
"14477",45,13,"Married","White-Collar","CaucYes","Male",40,"incH",8.89549263145163,0,"ChildNo"
"45932",24,10,"Never-Married","Admin","CaucNo","Female",41,"incB",0,0,"ChildNo"
"7427",62,10,"Widowed","Blue-Collar","CaucYes","Female",50,"incB",0,0,"ChildNo"
"4180",36,13,"Never-Married","Professional","CaucYes","Female",35,"incB",0,0,"ChildNo"
"15370",40,9,"Married","White-Collar","CaucYes","Male",60,"incH",0,0,"ChildNo"
"46758",46,10,"Not-Married","Other-occups","CaucNo","Female",48,"incB",0,0,"ChildNo"
"999",40,10,"Married","Blue-Collar","CaucYes","Male",40,"incB",7.85593219971861,0,"ChildNo"
"42791",46,9,"Married","Blue-Collar","CaucNo","Male",35,"incB",0,0,"ChildNo"
"22317",50,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"31723",58,4,"Never-Married","Blue-Collar","CaucYes","Female",33,"incB",0,0,"ChildNo"
"42734",30,9,"Married","Blue-Collar","CaucYes","Male",43,"incB",0,7.60240133566582,"ChildNo"
"41489",31,12,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"13084",53,13,"Not-Married","Professional","CaucYes","Female",57,"incB",0,0,"ChildNo"
"35663",26,10,"Married","Blue-Collar","CaucYes","Male",50,"incB",8.05134093329298,0,"ChildNo"
"44336",33,9,"Married","Sales","CaucNo","Male",45,"incB",0,0,"ChildNo"
"30436",47,9,"Not-Married","White-Collar","CaucYes","Female",37,"incB",0,0,"ChildNo"
"14633",20,11,"Never-Married","Admin","CaucYes","Female",35,"incB",0,0,"ChildYes"
"38340",78,2,"Widowed","Blue-Collar","CaucYes","Male",20,"incB",0,0,"ChildNo"
"23758",27,10,"Never-Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"15752",19,10,"Never-Married","Admin","CaucYes","Male",18,"incB",0,0,"ChildYes"
"35505",48,13,"Not-Married","Sales","CaucYes","Male",65,"incH",0,0,"ChildNo"
"16876",53,9,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
"29976",45,13,"Married","Blue-Collar","CaucYes","Male",77,"incB",0,0,"ChildNo"
"46428",26,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"16121",63,13,"Not-Married","Blue-Collar","CaucNo","Male",35,"incB",0,0,"ChildNo"
"34079",69,13,"Married","White-Collar","CaucYes","Male",40,"incB",0,7.13807303404435,"ChildNo"
"17114",67,9,"Widowed","Sales","CaucYes","Female",32,"incB",0,0,"ChildNo"
"13803",24,6,"Not-Married","Blue-Collar","CaucYes","Female",58,"incB",0,0,"ChildNo"
"15946",28,9,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,7.42237370098682,"ChildNo"
"48483",26,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"29239",41,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"18860",36,14,"Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildNo"
"10242",31,13,"Married","White-Collar","CaucYes","Male",45,"incH",0,7.71735127218533,"ChildNo"
"6469",34,14,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
"21645",52,13,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
"32101",26,9,"Never-Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
"17527",36,9,"Married","Other-occups","CaucYes","Male",50,"incB",0,0,"ChildNo"
"20681",58,16,"Never-Married","Professional","CaucYes","Male",8,"incB",0,0,"ChildNo"
"12207",49,9,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"5195",38,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"45136",58,10,"Married","Professional","CaucYes","Male",45,"incB",0,0,"ChildNo"
"37534",39,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
"34499",57,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"39958",47,6,"Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
"37846",67,6,"Married","Other-occups","CaucYes","Male",16,"incB",0,0,"ChildNo"
"23670",23,10,"Never-Married","Blue-Collar","CaucYes","Male",30,"incB",0,0,"ChildYes"
"21746",66,10,"Married","Sales","CaucYes","Male",28,"incB",0,0,"ChildNo"
"45984",21,10,"Never-Married","Service","CaucYes","Female",20,"incB",0,0,"ChildYes"
"13214",37,13,"Not-Married","Other-occups","CaucNo","Male",40,"incB",0,0,"ChildNo"
"40543",48,9,"Not-Married","Blue-Collar","CaucYes","Female",25,"incB",0,0,"ChildNo"
"21199",71,10,"Married","White-Collar","CaucYes","Male",50,"incH",9.90608417838339,0,"ChildNo"
"18351",44,14,"Married","Professional","CaucYes","Male",35,"incH",0,0,"ChildNo"
"3289",32,12,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"13319",27,13,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildYes"
"45644",63,9,"Not-Married","Admin","CaucYes","Female",27,"incB",0,0,"ChildNo"
"25653",42,1,"Never-Married","Blue-Collar","CaucYes","Male",25,"incB",0,0,"ChildNo"
"7548",20,7,"Married","Sales","CaucYes","Female",50,"incB",0,0,"ChildNo"
"28557",34,10,"Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"20593",54,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",8.94754601503218,0,"ChildNo"
"20173",63,4,"Married","Service","CaucNo","Male",40,"incB",0,0,"ChildNo"
"14600",36,9,"Married","Blue-Collar","CaucYes","Male",64,"incH",0,0,"ChildNo"
"41270",29,9,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"21339",35,10,"Married","Other-occups","CaucYes","Male",61,"incH",0,0,"ChildNo"
"14434",28,11,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"12646",18,9,"Never-Married","Service","CaucYes","Male",20,"incB",0,0,"ChildYes"
"42231",25,9,"Never-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildYes"
"36430",38,9,"Married","Service","CaucYes","Female",43,"incB",0,0,"ChildNo"
"31807",63,9,"Not-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildNo"
"18145",23,9,"Married","Blue-Collar","CaucYes","Male",30,"incB",0,7.36137542897735,"ChildNo"
"13272",33,13,"Never-Married","Professional","CaucNo","Male",60,"incB",0,0,"ChildNo"
"40301",22,9,"Not-Married","Blue-Collar","CaucYes","Male",48,"incB",0,0,"ChildYes"
"40330",19,10,"Never-Married","Blue-Collar","CaucYes","Male",35,"incB",0,0,"ChildYes"
"9883",43,10,"Not-Married","Other-occups","CaucYes","Female",50,"incB",0,0,"ChildNo"
"37113",58,9,"Never-Married","Admin","CaucYes","Male",40,"incB",0,7.46278915741245,"ChildNo"
"43732",48,9,"Married","Service","CaucYes","Male",70,"incB",8.13505390861157,0,"ChildNo"
"6353",44,12,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"19639",34,9,"Never-Married","White-Collar","CaucYes","Female",35,"incB",0,0,"ChildNo"
"12625",63,14,"Not-Married","Professional","CaucYes","Male",70,"incH",0,0,"ChildNo"
"36882",45,16,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
"5657",35,9,"Never-Married","Service","CaucYes","Female",27,"incB",0,0,"ChildYes"
"44257",41,10,"Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildNo"
"6034",41,13,"Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildNo"
"7918",22,13,"Never-Married","Admin","CaucYes","Female",60,"incB",0,0,"ChildYes"
"12688",65,9,"Widowed","Sales","CaucYes","Female",40,"incB",0,0,"ChildNo"
"20756",19,10,"Never-Married","Blue-Collar","CaucYes","Female",35,"incB",0,0,"ChildNo"
"34402",35,13,"Married","Professional","CaucYes","Female",35,"incH",9.61747075940341,0,"ChildNo"
"35086",48,13,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"38274",28,13,"Never-Married","Sales","CaucYes","Male",40,"incB",0,7.59135704669855,"ChildNo"
"40564",42,13,"Married","White-Collar","CaucYes","Male",45,"incH",0,0,"ChildNo"
"42547",23,13,"Never-Married","Professional","CaucYes","Male",7,"incB",0,0,"ChildNo"
"22156",29,11,"Not-Married","Service","CaucYes","Female",45,"incB",0,0,"ChildNo"
"7842",28,9,"Never-Married","White-Collar","CaucYes","Female",50,"incB",0,0,"ChildNo"
"45759",40,10,"Not-Married","Blue-Collar","CaucYes","Female",48,"incB",0,0,"ChildNo"
"21248",30,9,"Married","White-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"10161",65,9,"Not-Married","Service","CaucYes","Male",25,"incB",0,0,"ChildNo"
"27025",61,4,"Not-Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"37494",56,10,"Married","White-Collar","CaucYes","Male",40,"incH",0,7.54327334670545,"ChildNo"
"26604",36,9,"Married","Blue-Collar","CaucNo","Male",40,"incH",8.55236726642389,0,"ChildNo"
"21985",42,9,"Not-Married","Blue-Collar","CaucYes","Male",48,"incB",0,0,"ChildNo"
"34642",18,9,"Never-Married","Blue-Collar","CaucNo","Male",32,"incB",0,0,"ChildNo"
"826",57,9,"Widowed","Blue-Collar","CaucYes","Male",42,"incH",0,6.4831073514572,"ChildNo"
"32106",44,14,"Never-Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildNo"
"19988",45,11,"Married","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
"5661",56,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
