"","age","educNum","mariStat","occup","origEthn","sex","hoursWeek","income","LcapitalGain","LcapitalLoss","child"
"1",39,13,"Never-Married","Admin","CaucYes","Male",40,"incB",7.68478394352278,0,"ChildNo"
"2",50,13,"Married","White-Collar","CaucYes","Male",13,"incB",0,0,"ChildNo"
"3",38,9,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"4",53,7,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
"5",28,13,"Married","Professional","CaucNo","Female",40,"incB",0,0,"ChildNo"
"6",37,14,"Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"9",31,14,"Never-Married","Professional","CaucYes","Female",50,"incH",9.55286568031047,0,"ChildNo"
"11",37,10,"Married","White-Collar","CaucNo","Male",80,"incH",0,0,"ChildNo"
"12",30,13,"Married","Professional","CaucNo","Male",40,"incH",0,0,"ChildNo"
"13",23,13,"Never-Married","Admin","CaucYes","Female",30,"incB",0,0,"ChildYes"
"14",32,12,"Never-Married","Sales","CaucNo","Male",50,"incB",0,0,"ChildNo"
"18",32,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"19",38,7,"Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
"20",43,14,"Not-Married","White-Collar","CaucYes","Female",45,"incH",0,0,"ChildNo"
"21",40,16,"Married","Professional","CaucYes","Male",60,"incH",0,0,"ChildNo"
"22",54,9,"Not-Married","Service","CaucNo","Female",20,"incB",0,0,"ChildNo"
"23",35,5,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
"24",43,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.62217459481762,"ChildNo"
"25",59,9,"Not-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildNo"
"27",19,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
"29",39,9,"Not-Married","White-Collar","CaucYes","Male",80,"incB",0,0,"ChildNo"
"30",49,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"31",23,12,"Never-Married","Other-occups","CaucYes","Male",52,"incB",0,0,"ChildNo"
"32",20,10,"Never-Married","Sales","CaucNo","Male",44,"incB",0,0,"ChildYes"
"33",45,13,"Not-Married","White-Collar","CaucYes","Male",40,"incB",0,7.25063551189868,"ChildYes"
"34",30,10,"Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildYes"
"35",22,10,"Married","Service","CaucNo","Male",15,"incB",0,0,"ChildNo"
"38",19,9,"Married","Admin","CaucYes","Female",25,"incB",0,0,"ChildNo"
"40",48,12,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
"41",31,5,"Married","Blue-Collar","CaucYes","Male",43,"incB",0,0,"ChildNo"
"42",53,13,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
"43",24,13,"Married","Other-occups","CaucYes","Male",50,"incB",0,0,"ChildNo"
"44",49,9,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
"45",25,9,"Never-Married","Blue-Collar","CaucYes","Male",35,"incB",0,0,"ChildNo"
"47",53,9,"Married","Blue-Collar","CaucYes","Male",38,"incB",0,0,"ChildNo"
"48",44,14,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"49",41,11,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"50",29,11,"Never-Married","Professional","CaucYes","Male",43,"incB",0,0,"ChildNo"
"51",25,10,"Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
"53",47,15,"Married","Professional","CaucYes","Female",60,"incH",0,7.55118686729615,"ChildNo"
"54",50,13,"Not-Married","White-Collar","CaucYes","Male",55,"incH",0,0,"ChildNo"
"55",47,9,"Not-Married","White-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
"57",46,3,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"60",30,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",8.51998927871824,0,"ChildNo"
"61",30,13,"Married","Sales","CaucYes","Male",40,"incB",7.78655180642871,0,"ChildNo"
"64",42,16,"Married","Professional","CaucYes","Male",45,"incH",0,0,"ChildNo"
"65",29,10,"Not-Married","Other-occups","CaucYes","Male",58,"incB",0,0,"ChildNo"
"66",36,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
